id,method,fold,f1,rec,pre
grp1_a.I1.m.M.grisea.B2.ND1,MxFold2,0,0.598639455782313,0.676923076923077,0.5365853658536586
grp1_a.I1.e.P.inouyei.C1.SSU.1506,MxFold2,0,0.6440677966101696,0.6386554621848739,0.6495726495726496
grp1_a.I1.e.C.saxonicum.C1.SSU.1506,MxFold2,0,0.4830508474576271,0.475,0.49137931034482757
grp1_b.I1.e.M.anisopliae.3.C1.LSU.1921,MxFold2,0,0.6816143497757847,0.6909090909090909,0.672566371681416
grp1_a.I1.e.G.planctonica.C1.SSU.943,MxFold2,0,0.6353790613718411,0.6567164179104478,0.6153846153846154
grp1_a.I1.e.L.dispersa.UNK.SSU.114,MxFold2,0,0.4,0.4166666666666667,0.38461538461538464
grp1_a.I1.e.P.inouyei.C1.SSU.943,MxFold2,0,0.27619047619047626,0.27884615384615385,0.27358490566037735
grp1_a.I1.e.T.pigmentosa.C1.LSU.1925,MxFold2,0,0.6511627906976744,0.6666666666666666,0.6363636363636364
grp1_a.I1.e.A.capsulatus.CBS213.53.C1.SSU.943,MxFold2,0,0.5110132158590308,0.4793388429752066,0.5471698113207547
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1389,MxFold2,0,0.5116279069767442,0.515625,0.5076923076923077
grp1_a.I1.m.S.luteus.A1.LSU.2504,MxFold2,0,0.6137566137566138,0.5576923076923077,0.6823529411764706
grp1_a.I1.e.P.macrosporus.C1.SSU.1506,MxFold2,0,0.5414847161572054,0.543859649122807,0.5391304347826087
grp1_a.I1.e.B.yamatoana.JCM2896.C1.SSU.1506,MxFold2,0,0.44015444015444016,0.4253731343283582,0.456
grp1_a.I1.e.C.grayi.UNK.SSU.1046,MxFold2,0,0.49382716049382713,0.5333333333333333,0.45977011494252873
grp1_a.I1.e.P.carinii.Pc2.C1.LSU.1921,MxFold2,0,0.3619047619047619,0.34234234234234234,0.3838383838383838
grp1_a.I1.e.T.cosmopolitanis.C1.LSU.1925,MxFold2,0,0.6821705426356589,0.6929133858267716,0.6717557251908397
grp1_a.I1.e.L.dispersa.UNK.SSU.1210,MxFold2,0,0.14285714285714285,0.16,0.12903225806451613
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1516,MxFold2,0,0.5306122448979592,0.582089552238806,0.4875
grp1_a.I1.e.P.sarcinoidea.C1.SSU.943,MxFold2,0,0.33613445378151263,0.37383177570093457,0.3053435114503817
grp1_a.I1.e.L.dispersa.UNK.SSU.1046,MxFold2,0,0.2727272727272727,0.29508196721311475,0.2535211267605634
grp1_b.I1.e.C.saccharophila.C1.SSU.156,MxFold2,0,0.5931558935361216,0.639344262295082,0.5531914893617021
grp1_a.I1.e.B.yamatoana.JCM2896.C1.SSU.943,MxFold2,0,0.3799283154121864,0.37857142857142856,0.381294964028777
grp1_a.I1.e.C.saccatum.C1.SSU.1512,MxFold2,0,0.6327272727272728,0.635036496350365,0.6304347826086957
grp1_a.I1.e.A.capsulatus.G184B.C1.SSU,MxFold2,0,0.34745762711864403,0.3445378151260504,0.3504273504273504
grp1_a.I1.e.P.carinii.Pc1.C1.LSU.1921,MxFold2,0,0.6666666666666666,0.6347826086956522,0.7019230769230769
grp1_a.I1.e.E.dermatitidis.C1.SSU.943,MxFold2,0,0.4878048780487805,0.47244094488188976,0.5042016806722689
grp1_a.I1.e.A.adeninivorans.C1.LSU.2449,MxFold2,0,0.5327510917030568,0.5980392156862745,0.48031496062992124
grp1_a.I1.c.S.bicolor.C3.tLEU,MxFold2,0,0.33333333333333337,0.40963855421686746,0.2809917355371901
grp1_a.I1.b.Phormidium.sp.N182.C3.tLEU,MxFold2,0,0.5283018867924528,0.5185185185185185,0.5384615384615384
grp1_a.I1.e.P.carinii.Pc3.C1.LSU.1921,MxFold2,0,0.4910714285714286,0.5092592592592593,0.47413793103448276
grp1_a.I1.e.P.macrosporus.C1.SSU.943,MxFold2,0,0.2475247524752475,0.24509803921568626,0.25
grp1_a.I1.e.T.malaccensis.C1.LSU.1925,MxFold2,0,0.7222222222222222,0.728,0.7165354330708661
grp1_a.I1.b.S.hofmanii.C3.tMET,MxFold2,0,0.6153846153846154,0.6197183098591549,0.6111111111111112
grp1_a.I1.e.D.parva.C1.SSU.1512,MxFold2,0,0.7709923664122137,0.7651515151515151,0.7769230769230769
grp1_a.I1.e.G.spirotaenia.C1.SSU.1506,MxFold2,0,0.4927536231884058,0.51,0.4766355140186916
grp1_a.I1.e.P.carinii.C1.SSU.1506,MxFold2,0,0.28215767634854777,0.2982456140350877,0.2677165354330709
grp1_a.I1.e.U.maydis.C1.SSU.943,MxFold2,0,0.625,0.5737704918032787,0.6862745098039216
grp1_a.I1.e.L.dispersa.UNK.SSU.287,MxFold2,0,0.25600000000000006,0.2711864406779661,0.24242424242424243
grp1_a.I1.b.Dermocarpa.sp.ATCC29371.C3.tMET,MxFold2,0,0.5882352941176471,0.5844155844155844,0.5921052631578947
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.1506,MxFold2,0,0.5365853658536587,0.5288461538461539,0.5445544554455446
grp1_a.I1.b.Synechococcus.sp2.C3.tLEU,MxFold2,0,0.2898550724637681,0.2631578947368421,0.3225806451612903
grp1_a.I1.c.G.prostrata.C3.tLEU,MxFold2,0,0.17518248175182483,0.2,0.15584415584415584
grp1_a.I1.c.A.cherimola.C3.tLEU,MxFold2,0,0.11891891891891894,0.2,0.08461538461538462
grp1_a.I1.e.A.capsulatus.G186B.C1.SSU,MxFold2,0,0.34745762711864403,0.3445378151260504,0.3504273504273504
grp1_a.I1.e.S.paniceum.UNK.SSU.114,MxFold2,0,0.5925925925925926,0.5614035087719298,0.6274509803921569
grp1_a.I1.e.D.salina.C1.SSU.943,MxFold2,0,0.7966101694915254,0.7704918032786885,0.8245614035087719
grp1_a.I1.e.S.paniceum.UNK.SSU.1052,MxFold2,0,0.43971631205673756,0.4696969696969697,0.41333333333333333
grp1_a.I1.e.S.paniceum.UNK.SSU.287,MxFold2,0,0.3597122302158273,0.373134328358209,0.3472222222222222
grp1_a.I1.e.S.granulatum.C1.SSU.1506,MxFold2,0,0.23293172690763053,0.2457627118644068,0.22137404580152673
grp1_a.I1.e.L.dispersa.UNK.SSU.1516,MxFold2,0,0.2677165354330709,0.2786885245901639,0.25757575757575757
grp1_a.I1.e.C.ellipsoidea.IAMC-87.C1.SSU.1506,MxFold2,0,0.29496402877697836,0.30597014925373134,0.2847222222222222
grp1_a.I1.e.C.grayi.UNK.SSU.1516,MxFold2,0,0.39473684210526316,0.46875,0.3409090909090909
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1210,MxFold2,0,0.5714285714285714,0.5970149253731343,0.547945205479452
grp1_a.I1.e.L.dispersa.UNK.SSU.789,MxFold2,0,0.16494845360824742,0.17777777777777778,0.15384615384615385
grp1_s.I1.e.T.thermophila.C1.LSU.1925.schem,MxFold2,0,0.6476868327402135,0.7054263565891473,0.5986842105263158
grp1_a.I1.e.B.ciliata.JCM6865.C1.SSU.943,MxFold2,0,0.5405405405405406,0.5319148936170213,0.5494505494505495
grp1_a.I1.e.M.caldariorum.C1.SSU.1506,MxFold2,0,0.4362139917695473,0.4380165289256198,0.4344262295081967
grp1_a.I1.e.A.capsulatus.FLs1.C1.SSU,MxFold2,0,0.4710743801652892,0.4672131147540984,0.475
grp1_b.I1.e.M.anisopliae.2.C1.LSU.1921,MxFold2,0,0.26200873362445415,0.2857142857142857,0.24193548387096775
grp1_a.I1.e.Staurastrum.sp.M753.C1.SSU.1506,MxFold2,0,0.4083333333333333,0.4083333333333333,0.4083333333333333
grp1_a.I1.e.S.paniceum.UNK.SSU.1210,MxFold2,0,0.49032258064516127,0.4935064935064935,0.48717948717948717
grp1_a.I1.m.S.pombe.B1.OX1,MxFold2,0,0.22857142857142856,0.24242424242424243,0.21621621621621623
grp1_a.I1.e.L.dispersa.UNK.SSU.516,MxFold2,0,0.0,0.0,0.0
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1046,MxFold2,0,0.618421052631579,0.6438356164383562,0.5949367088607594
grp1_b.I1.e.T.thermophila.C1.LSU.1925,MxFold2,0,0.6476868327402135,0.7054263565891473,0.5986842105263158
grp1_a.I1.e.S.paniceum.UNK.SSU.1506,MxFold2,0,0.27338129496402874,0.2835820895522388,0.2638888888888889
